Age,Portfolio,DC_WD,TF_WD,WdRate%,UpperGuard%,LowerGuard%,Target,Net,Action
68,400000,12555,0,3.14,5.5,3.5,30000,30000,INIT
69,404866,16591,0,4.1,5.5,3.5,33825,33825,-
70,405821,17111,0,4.22,5.5,3.5,34671,34671,-
71,406280,17642,0,4.34,5.5,3.5,35537,35537,-
72,406206,18188,0,4.48,5.5,3.5,36426,36426,-
73,405561,18747,0,4.62,5.5,3.5,37336,37336,-
74,404306,19320,0,4.78,5.5,3.5,38270,38270,-
75,402398,19907,0,4.95,5.5,3.5,39227,39226,-
76,399793,20510,0,5.13,5.5,3.5,40207,40207,-
77,396444,21127,0,5.33,5.5,3.5,41212,41212,-
78,392303,21759,0,5.55,5.5,3.5,42243,42243,CUT
79,387316,17314,0,4.47,5.5,3.5,38969,38969,-
80,386629,17851,0,4.62,5.5,3.5,39943,39943,-
81,385347,18402,0,4.78,5.5,3.5,40942,40942,-
82,383430,18966,0,4.95,5.5,3.5,41965,41965,-
83,380836,19545,0,5.13,5.5,3.5,43014,43014,-
84,377519,20138,0,5.33,5.5,3.5,44090,44090,-
85,373430,20746,0,5.56,5.5,3.5,45192,45192,CUT
86,368520,15920,0,4.32,5.5,3.5,41690,41690,-
87,368296,16422,0,4.46,5.5,3.5,42732,42732,-
88,367530,16936,0,4.61,5.5,3.5,43800,43800,-
89,366184,17464,0,4.77,5.5,3.5,44895,44895,-
90,364218,18005,0,4.94,5.5,3.5,46018,46017,-
91,361590,18560,0,5.13,5.5,3.5,47168,47168,-
92,358255,19128,0,5.34,5.5,3.5,48347,48347,-
93,354168,19711,0,5.57,5.5,3.5,49556,49556,CUT
94,349278,14333,0,4.1,5.5,3.5,45715,45716,-
95,349631,14796,0,4.23,5.5,3.5,46858,46859,-
